Athropods,General Fish,Freshwater Fish,Marine Fish,Reptiles,Amphibians,Birds,Mammals,Pollen,Federally Listed,Invasive Species,Plants,Marine Fish 2,Marine Fish 3
,Ling cod,,Halichoeres maculipinna ,,,,,,,,,Sargo,Threadfin Slickhead
,Lionfish,,Halichoeres nicholsi ,,,,,,,,,Burrito Grunt,Keeltail Pomfret
,Liparis liparis,,Halichoeres notospilus ,,,,,,,,,Black Margate,Bigscale Pomfret
,Livebearer,,Halichoeres pictus ,,,,,,,,,Panamic Porkfish,Blue Lanternfish
,Lizardfish,,Halichoeres poeyi ,,,,,,,,,Porkfish,Tautog
,Loach,,Halichoeres radiatus ,,,,,,,,,Smooth Alligatorfish,Cunner
,Loach catfish,,Halichoeres semicinctus ,,,,,,,,,Slender Cockscomb,Bigeye Squaretail
,Loach goby,,Halieuthichthys aculeatus ,,,,,,,,,High Cockscomb,Smalleye Squaretail
,Loach minnow,,Harengula jaguana ,,,,,,,,,Common Fangtooth,Longbill Spearfish
,logperch,,Harengula thrissina ,,,,,,,,,Sablefish,Bluehead
,Longfin,,Helicolenus dactylopterus ,,,,,,,,,Daggertooth,Sunset Wrasse
,Longfin dragonfish,,Hemanthias leptus ,,,,,,,,,Island Frogfish,Cortez Rainbow Wrasse
,Longfin escolar,,Hemanthias peruanus ,,,,,,,,,Longlure Frogfish,Albacore
,Longfin smelt,,Hemanthias signifer ,,,,,,,,,Dwarf Frogfish,Yellowfin Tuna
,Long-finned char,,Hemicaranx amblyrhynchus ,,,,,,,,,Striated Frogfish,Blackfin Tuna
,Long-finned pike,,Hemicaranx leucurus ,,,,,,,,,Yellowfin Bass,Bigeye Tuna
,Longjaw mudsucker,,Hemicaranx zelotes ,,,,,,,,,Deepbody Boarfish,Bluefin Tuna
,Longneck eel,,Hemilepidotus hemilepidotus ,,,,,,,,,Shortspine Boarfish,Snakefish
,Longnose chimaera,,Hemilepidotus spinosus ,,,,,,,,,Pacific Flatnose,Florida Pompano
,Longnose dace,,Hemiramphus balao ,,,,,,,,,Pacific black Scabbardfish,Permit
,longnose gar,,Hemiramphus bermudensis ,,,,,,,,,Tusky Eel,Palometa
,Longnose lancetfish,,Hemiramphus brasiliensis ,,,,,,,,,Penpoint Gunnel,Blackblotch Pompano
,Longnose sucker,,Hemiramphus saltator ,,,,,,,,,Rockweed Gunnel,Paloma Pompano
,Longnose whiptail catfish,,Hemitripterus americanus ,,,,,,,,,Bigtooth Cardinalfish,Grafftopsail Pompano
,Long-whiskered catfish,,Hermosilla azurea ,,,,,,,,,Plain Cardinalfish,King-of-the-salmon
,Loosejaw,,Heteristius cinctus ,,,,,,,,,Bridle Cardinalfish,Tapertail Ribbonfish
,Lost River sucker,,Heteroconger canabus ,,,,,,,,,Barred Cardinalfish,Rough Scad
,Louvar,,Heteroconger digueti ,,,,,,,,,Guadalupe Cardinalfish,Jack Mackerel
,Loweye catfish,,Heteroconger longissimus ,,,,,,,,,Whitestar Cardinalfish,Atlantic Thornyhead
,Luderick,,Heteroconger luteolus ,,,,,,,,,Flamefish,Atlantic Cutlassfish
,Luminous hake,,Heteropriacanthus cruentatus ,,,,,,,,,Mimic Cardinalfish,Pacific Cutlassfish
,Lumpsucker,,Heterostichus rostratus ,,,,,,,,,Pale Cardinalfish,Sash Flounder
,Lungfish,,Hexagrammos decagrammus ,,,,,,,,,Twospot Cardinalfish,Chameleon Goby
,Mackerel,,Hexagrammos lagocephalus ,,,,,,,,,Sawcheek Cardinalfish,Spottedfin Sole
,Mackerel shark,,Himantolophus groenlandicus ,,,,,,,,,Barspot Cardinalfish,Hogchoker
,Macquarie perch ,,Hippocampus erectus ,,,,,,,,,Belted Cardinalfish,Mexican Lampfish
,Madtom,,Hippocampus ingens ,,,,,,,,,Stripe Eel,Highseas Lampfish
,Mahi-mahi,,Hippocampus reidi ,,,,,,,,,Academy Eel,Atlantic Agujon
,Mahseer,,Hippocampus zosterae ,,,,,,,,,Finless Eel,Houndfish
,Mail-cheeked fish,,Hippoglossina bollmani ,,,,,,,,,Sea Bream,Blind Goby
,Mako shark,,Hippoglossina stomata ,,,,,,,,,White Barracudina,Kelp Gunnel
,Mandarinfish ,,Hippoglossina tetropthalma ,,,,,,,,,Pacific Argentine,Eastern Mudminnow
,Manefish,,Hippoglossoides elassodon ,,,,,,,,,Atlantic Argentine,Sand Drum
,Man-of-war fish,,Hippoglossoides hippoglossus ,,,,,,,,,Atlantic Silver Hatchetfish,Yellowfin Croaker
,Manta ray,,Hippoglossus stenolepis ,,,,,,,,,Pacific Hatchetfish,Surf Croaker
,Marblefish,,Hirundichthys affinis ,,,,,,,,,Short Silver Hatchetfish or Spurred Hatchetfish,Dwarf Goatfish
,Marine hatchetfish,,Hirundichthys marginatus ,,,,,,,,,Tropical Hatchetfish,Whitetongue Jack
,Marlin,,Hirundichthys rondeletii ,,,,,,,,,Silvery Hatchetfish,Cottonmouth Jack
,Masu salmon,,Hirundichthys speculiger ,,,,,,,,,Brown Driftfish,Threadtail Conger
,Medaka,,Hirundichthys spp.,,,,,,,,,Spotted Driftfish,Red Hake
,Medusafish,,Histrio histrio ,,,,,,,,,Hardhead Catfish,Carolina Hake
,Megamouth shark,,Holacanthus bermudensis ,,,,,,,,,Longtrunk Conger,Southern Hake
,Melanogrammus melanogrammus,,Holacanthus ciliaris ,,,,,,,,,Bandtooth Conger,Spotted Hake
,Menhaden,,Holacanthus tricolor ,,,,,,,,,Sharpnose Conger,White Hake
,Merlangius merlangius,,Holocentrus adscensionis ,,,,,,,,,Shiny Loosejaw,Largehead Moray
,Merluccid hake,,Holocentrus rufus ,,,,,,,,,Stripebelly Puffer,Marbled Moray
,Mexican golden trout,,Holtbyrnia latifrons ,,,,,,,,,Guineafowl Puffer,Constellationfish
,Microstomus microstomus,,Hoplopagrus guentherii ,,,,,,,,,Coralline Sculpin,Slender Lightfish
,Midshipman fish,,Hoplostethus mediterraneus ,,,,,,,,,Padded Sculpin,Panama Lightfish
,Milkfish,,Hoplostethus occidentalis ,,,,,,,,,Scalyhead Sculpin,Narooma Lightfish
,Minnow,,Hoplunnis diomediana ,,,,,,,,,Smoothhead Sculpin,Power's Lightfish
,Minnow of the deep,,Hoplunnis macrura ,,,,,,,,,Bonyhead Sculpin,Bigeye Lightfish
,Modoc sucker,,Hoplunnis sicarius,,,,,,,,,Rosylip Sculpin,Redtail Triggerfish
,Mojarra,,Hoplunnis similis,,,,,,,,,Fanfin Smooth-head,Sargassum Triggerfish
,Mola,,Hoplunnis sp. B,,,,,,,,,Razorback Scabbardfish,Blacktip Poacher
,Monkeyface prickleback,,Hoplunnis sp. C,,,,,,,,,Blackfin Cardinalfish,Smootheye Poacher
,Monkfish,,Hoplunnis tenuis ,,,,,,,,,Conchfish,Stripefin Poacher
,Mooneye,,Howella pammelas,,,,,,,,,Northern Stargazer,Bluespotted Poacher
,Moonfish,,Howella sp. ,,,,,,,,,Southern Stargazer,Freckled Stargazer
,Moorish idol,,Hyaloceratias,,,,,,,,,Pacific Stargazer,Spotted Tinselfish
,Mora,,Hybognathus nuchalis ,,,,,,,,,Arrowtooth Flounder,Redrump Blenny
,Moray eel,,Hygophum atratum ,,,,,,,,,Longfin Silverside,Deepwater conger
,Morid cod,,Hygophum benoiti ,,,,,,,,,Pitcher Silverside,Bristletooth Conger
,MORONIDAE [PERCICHTHYIDAE] ,,Hygophum hygomii ,,,,,,,,,Hardhead Silverside,Swordfish
,Morwong,,Hygophum macrochir ,,,,,,,,,Topsmelt,Black Prickleback
,Moses sole,,Hygophum proximum ,,,,,,,,,White Seabass,Rock Prickleback
,Mosquitofish,,Hygophum reinhardtii ,,,,,,,,,Eastern Pacific Flagfin,Rosy Razorfish
,Mottled sculpin,,Hygophum spp.,,,,,,,,,Yellowfin Aulopus,Cape Razorfish
,Mouthbrooder,,Hygophum taaningi ,,,,,,,,,Atlantic Trumpetfish,Pearly Razorfish
,Mozambique tilapia,,Hyperoglyphe perciformis ,,,,,,,,,Bullet Mackerel,Green Razorfish
,Mrigal,,Hypleurochilus geminatus ,,,,,,,,,Bullet and Frigate Mackerels,Fantail Sole
,Mud catfish ,,Hypleurochilus multifilis ,,,,,,,,,Frigate Mackerel,Roundel Batfish
,mud darter,,Hypomesus pretiosus ,,,,,,,,,Smalleye Snipe Eel,Shortspine Combfish
,Mud minnow,,Hypoplectrus gemma ,,,,,,,,,Avocet Snipe Eel,Longspine Combfish
,Mudfish,,Hypoplectrus guttavarius ,,,,,,,,,Cortez Triplefin,Buckler Dory
,Mudminnow,,Hypoplectrus unicolor ,,,,,,,,,Swallow Damselfish,Flabby Sculpin
,Mudskipper,,Hyporhamphus gilli ,,,,,,,,,Gafftopsail Catfis,Ocean Pout
,Mudsucker,,Hyporhamphus meeki ,,,,,,,,,Silver Perch,Scalloped Ribbonfish
,Mullet,,Hyporhamphus rosae ,,,,,,,,,Bairdiella,Surgeonfishes
,Mummichog,,Hyporhamphus unifasciatus ,,,,,,,,,Sharpchin Slickhead,American Soles
,Murray cod,,Hyporthodus flavolimbatus ,,,,,,,,,Streamer Bass,Lanternbellies
,Muskellunge,,Hyporthodus mystacinus ,,,,,,,,,Red Barbier,Poachers
,musky,,Hyporthodus nigritus ,,,,,,,,,Gray Triggerfish,Bonefishes
,Mustache triggerfish,,Hyporthodus niphobles [Epinephelus niphobles] ,,,,,,,,,Finescale Triggerfish,Lancetfishes
,Mustard eel,,Hyporthodus niveatus ,,,,,,,,,Queen Triggerfish,Slickheads
,Myoxocephalus myoxocephalus,,Hypsoblennius brevipinnis ,,,,,,,,,Sooty Eel,Sand Lances
,Naked-back knifefish,,Hypsoblennius gentilis ,,,,,,,,,Whip Eel,Wolffishes
,Nase,,Hypsoblennius gilberti ,,,,,,,,,Sparing,Fangtooth
,Needlefish,,Hypsoblennius hentz ,,,,,,,,,Highfin Dragonfish,Sablefishes
,Neon tetra,,Hypsoblennius invemar ,,,,,,,,,Gray Starsnout,Frogfishes
,Nerophis nerophis,,Hypsoblennius ionthas ,,,,,,,,,Spinycheek Starsnout,Cardinalfishes
,New World rivuline,,Hypsoblennius jenkinsi ,,,,,,,,,Blackfin Poacher,Argentines or Herring Smelts
,New Zealand smelt,,Hypsoblennius proteus ,,,,,,,,,Bigeye Poacher,Sea Catfishes
,Nibble fish,,Hypsopsetta guttulata ,,,,,,,,,Yellowtail Bass,Ariommatids
,Ninespine stickleback,,Hypsypops rubicundus ,,,,,,,,,Shorthead Conger,Snaggletooths
,Noodlefish,,Icelinus burchami ,,,,,,,,,Largehead Conger,Jellynoses
,North American darter,,Icelinus cavifrons ,,,,,,,,,Notchtongue Goby,Flagfins
,North American freshwater catfish,,Icelinus filamentosus ,,,,,,,,,Panamic Frillfin,Trumpetfish
,North Pacific daggertooth,,Icelinus fimbriatus ,,,,,,,,,Frillfin Goby,Triggerfishes
,Northern anchovy,,Icelinus oculatus ,,,,,,,,,Black Warrior,Deep-Sea Smelts
,Northern brook lamprey,,Icelinus quadriseriatus ,,,,,,,,,Grey's Deepsea Smelt,Ronquils
,Northern clingfish,,Icelinus sp.,,,,,,,,,Silver Deepsea Smelt,Deepsea Lizardfishes
,northern hog sucker,,Icelinus tenuis ,,,,,,,,,Blackchin BlackSmelt,Toadfishes
,Northern lampfish,,Ichthyapus ophioneus ,,,,,,,,,Snubnose BlackSmelt,Needlefishes
,Northern pike,,Ichthyococcis ovatus ,,,,,,,,,Slender BlackSmelt,Combtooth Blennies
,Northern sea robin,,Ichthyococcus elongatus ,,,,,,,,,Javelin Spookfish,Lefteye Flounders
,Northern squawfish,,Ichthyococcus irregularis ,,,,,,,,,Tripodfish or Tripod spiderfish,Pomfrets
,Northern stargazer,,Icichthys lockingtoni ,,,,,,,,,Darkheaded Tripodfish,Codlets
,Noturus flavus,,Icosteus aenigmaticus ,,,,,,,,,Deepsea Lizardfish,Viviparous Brotulas
,Noturus insignis,,Idiacanthus antrostomus ,,,,,,,,,Highfin Lizardfish,Dragonets
,Nurse shark,,Idiacanthus fasciola ,,,,,,,,,Marion's Spiderfish,Boarfishes
,Nurseryfish,,Ilypnus gilberti ,,,,,,,,,Large-eye Toadfish,Jacks
,Oarfish,,Iniistius pavo [Xyrichtys pavo] ,,,,,,,,,Cotuero Toadfish,Pearlfishes
,Ocean perch,,Isopsetta isolepis ,,,,,,,,,Pacuma Toadfish,Manefishes
,Ocean sunfish,,Istiophorus albicans ,,,,,,,,,Nakedbelly Searobin,Fanfin Seadevils
,Oceanic whitetip shark,,Istiophorus platypterus ,,,,,,,,,Chevron Searobin,Medusafishes
,Oilfish,,Jeboehlkia gladifer ,,,,,,,,,Splitnose Searobin,Prickly Seadevils
,Old World knifefish,,Jenkinsia lamprotaenia ,,,,,,,,,Duckbill Flathead,Snooks
,Oldwife,,Johnrandallia nirirostris ,,,,,,,,,Goby Flathead,Seadevils
,Olive flounder,,Jordania zonope ,,,,,,,,,Northern Pearleye,Flabby Whalefishes
,Opah,,Kajikia albida ,,,,,,,,,North Pacific Frostfish,Tube Blennies
,Opaleye,,Kali indica,,,,,,,,,Spinycheek Lanternfish,Butterflyfishes
,Orange roughy,,Kali kerbert,,,,,,,,,Panama Lanternfish,Gapers
,Orangespine unicorn fish,,Kali macrodon,,,,,,,,,Smallfin Lanternfish,Snaketooth Fishes
,orangespotted sunfish,,Kali macrura,,,,,,,,,Silverspotted Sculpin,False Morays
,Orangestriped triggerfish,,Kasatkia sp.,,,,,,,,,Mexican Hogfish,Greeneyes
,Orbicular batfish,,Kathetostoma albigutta ,,,,,,,,,Spotfin Hogfish,Cichlids and Tilapias
,Orbicular velvetfish,,Kathetostoma averruncus ,,,,,,,,,Spanish Hogfish,Hawkfishes
,Oregon chub,,Katsuwonus pelamis ,,,,,,,,,Popeye Lampfish,Kelp Blennies
,Oriental loach,,Kaupichthys hyoproroides ,,,,,,,,,Ragged Goby,Conger Eels
,Oscar,,Kaupichthys nuchalis ,,,,,,,,,Longray Fangjaw,Dolphinfishes
,OSMERIDAE ,,Kyphosus analogus ,,,,,,,,,Netdevil,Lumpfishes
,Owens pupfish,,Kyphosus elegans ,,,,,,,,,Panama Snaggletooth,Bobtail Snipe Eels
,Pacific albacore,,Kyphosus incisor ,,,,,,,,,Rockhead,Tonguefishes
,Pacific cod,,Kyphosus saltatrix ,,,,,,,,,Pacific Leopard Flounder,Pupfishes
,Pacific hake,,Labichthys carinatus,,,,,,,,,Mottled Flounder,Flying Gurnards
,Pacific herring,,Labrisomus multiporosus ,,,,,,,,,Eyed Flounder,Sand Stargazers
,Pacific lamprey,,Labrisomus striatus ,,,,,,,,,Twospot Flounder,Longneck Eels
,Pacific salmon,,Labrisomus wigginsi ,,,,,,,,,Atlantic Pomfret,Doublespine Seadevils
,Pacific saury,,Labrisomus xanti ,,,,,,,,,Caribbean Pomfret,Porcupinefishes
,Pacific trout,,Lachnolaimus maxiumus ,,,,,,,,,Lowfin Pomfret,Spinyfins
,Pacific viperfish,,Lactophrys trigonus ,,,,,,,,,Bigtooth Pomfret,Remoras
,Paddlefish,,Lactophrys triqueter ,,,,,,,,,Antenna Codlet,Sleepers
,Pancake batfish,,Lactoria diaphana ,,,,,,,,,East Pacific Codlet,Tenpounders
,Panga,,Laemonema barbatulum ,,,,,,,,,Striped Codlet,Spadefishes
,Paradise fish,,Laemonema melanurum,,,,,,,,,Stellate Codlet,Groupers
,Parasitic catfish,,Lagocephalus laevigatus ,,,,,,,,,Gulf Menhaden,Sabertooth Fishes
,Parore,,Lagocephalus lagocephalus ,,,,,,,,,Yellowfin Menhaden,Flyingfishes
,Parrotfish,,Lagodon rhomboides ,,,,,,,,,Atlantic Menhaden,Cornetfishes
,Peacock flounder,,Lampadena luminosa ,,,,,,,,,Red Brotula,Snake Mackerels
,Peamouth,,Lampadena sp.,,,,,,,,,Atlantic Bearded Brotula,Mojarras
,Pearl danio,,Lampadena spp.,,,,,,,,,Pacific bearded Brotula,Gibberfishes
,Pearl perch,,Lampadena urophaos ,,,,,,,,,Pugnose Pipefish,Whipnose Seadevils
,Pearleye,,Lampadena urophaos atlantica,,,,,,,,,Shoulderspot Grenadier,Telescope Fishes
,Pearlfish,,Lampanyctus acanthurus ,,,,,,,,,Pacific Porgy,Clingfishes
,Pelagic cod,,Lampanyctus alatus ,,,,,,,,,Twostripe Snake Eel,Bristlemouths
,Pelican eel,,Lampanyctus crocodilus ,,,,,,,,,Shorttail Snake Eel,Basslets
,Pelican gulper,,Lampanyctus nobilis ,,,,,,,,,Blotched Snake Eel,Diamond Dories
,Pencil catfish,,Lampanyctus parvicauda ,,,,,,,,,Barred Filefish,Grunts
,Pencilfish,,Lampanyctus pusillus ,,,,,,,,,Whitespotted Filefish,Halfbeaks
,Pencilsmelt,,Lampanyctus sp.,,,,,,,,,Orangespotted Filefish,Searavens
,Peppered corydoras,,Lampanyctus spp.,,,,,,,,,Rough Triggerfish,Mud Eels
,Perca perca,,Lampanyctus steinbecki ,,,,,,,,,Ocean Triggerfish,Greenlings
,Perch,,Lampanyctus tenuiformis ,,,,,,,,,Spotted Sharpnose Puffer,Footballfishes
,PERCIDAE ,,Lampris guttatus ,,,,,,,,,Sharpnose Puffer,Squirrelfishes
,PERCOPSIDAE ,,Lamprogrammus brunswigi ,,,,,,,,,Slantlip Eel,Oceanic Basslets
,Percopsis omiscomaycus,,Lamprogrammus niger,,,,,,,,,Threadfin Jack,Ragfishes
,Peters' elephantnose fish,,Larimus fasciatus ,,,,,,,,,Yellow Jack,Black Dragonfishes
,PETROMYZONTIDAE ,,Larimus pacificus ,,,,,,,,,Green Jack,Jellynose
,Pholis pholis,,Leiocottus hirundo ,,,,,,,,,Pacific Crevalle Jack,Loppe's Tadpose Fish
,Pickerel,,Leiostomus xanthurus ,,,,,,,,,Blue Runner,COLOCONGRIDAE?
,Pigfish,,Lepidogobius lepidus ,,,,,,,,,Crevalle Jack,Spiderfishes
,Pike,,Lepidophanes gaussi,,,,,,,,,Horse-eye Jack,Billfishes
,Pike conger,,Lepidophanes guentheri ,,,,,,,,,Black Jack,Sea Chubs
,Pike eel,,Lepidophanes spp.,,,,,,,,,Bluefin Trevally,Wrasses and Parrotfishes
,Pikeblenny,,Lepidopsetta bilineata ,,,,,,,,,Bar Jack,Labrisomid Blennies
,Pikeperch,,Lepidopus fitchi ,,,,,,,,,Bigeye Trevally,Opahs
,Pilchard,,Lepomis auritus ,,,,,,,,,Cocinero,Leftvent Seadevils
,Pilot fish,,Lepophidium jeannae ,,,,,,,,,Pearlfish,Snailfishes
,Pineapplefish,,Lepophidium microlepis ,,,,,,,,,Smalldisk Snailfish,Tripletails
,Pineconefish,,Lepophidium negropinna ,,,,,,,,,Stippled Snailfish,Goosefishes
,Pink salmon,,Lepophidium profundorum ,,,,,,,,,Blacktail Snailfish,Crestfishes
,Píntano,,Lepophidium staurophor ,,,,,,,,,Rubynose Brotula,Snappers
,Pipefish,,Lepophidium stigmatistium ,,,,,,,,,False Moray Eel,Snipefishes
,Piranha,,Leptocephalus giganteus ,,,,,,,,,Pacific Golden-eyed Tilefish,Grenadiers
,Pirarucu,,Leptocephalus holti,,,,,,,,,Hubbs' Tilefish,Tilefishes
,Pirate perch,,Leptocephalus thorianus,,,,,,,,,Ocean Whitefish,Loosejaws
,Plaice,,Leptochilichthys agassizii ,,,,,,,,,Fanfin Angler,Tarpons
,Platichthys platichthys,,Leptocottus armatus ,,,,,,,,,Hairy Angler,Bigscale Fishes or Ridgeheads
,Platy,,Leptoderma lubricum,,,,,,,,,Monkeyface Prickleback,Black Seadevils
,Platyfish,,Leptostomias spp.,,,,,,,,,Flier,Scaleless Dragonfishes
,Pleco,,Lestidiops neles,,,,,,,,,Roundnose Lanternfish,Merlucciid Hakes
,Pleuronectes pleuronectes,,Lestidiops pacificum,,,,,,,,,Horned Lanternfish,Wormfishes
,Plownose chimaera,,Lestidiops ringens ,,,,,,,,,Swordspine Snook,Pencil Smelts
,Poacher,,Lestidiops sphyraenopsis,,,,,,,,,Smallscale Fat Snook,Tapetails and Hairyfish
,POECILIIDAE ,,Letharchus aliculatus ,,,,,,,,,Tarpon Snook,Molas
,Pollachius pollachius,,Letharchus velifer ,,,,,,,,,Common Snook,Filefishes
,Pollock,,Lethops connectens ,,,,,,,,,Rock Sea Bass,Onejaws
,Pollyfish,,Leuresthes tenuis ,,,,,,,,,Black Sea Bass,Codlings
,POLYODONTIDAE ,,Leuroglossus schmidti ,,,,,,,,,Cherubfish,Spaghetti Eels
,Pomatoschistus pomatoschistus,,Leuroglossus stilbius [Leuroglossus urotranus] ,,,,,,,,,Flameback Angelfish,Mullets
,Pomfret,,Lile stolifera ,,,,,,,,,Graysby,Goatfishes
,Pompano,,Limanda Ferruginea ,,,,,,,,,Coney,Morays
,Pompano dolphinfish,,Linophryne arborifera ,,,,,,,,,Northern Giant Seadevil,Lanternfishes
,Ponyfish,,Liopropomatini,,,,,,,,,Dogtooth Lampfish,Roosterfishes
,Popeye catalufa,,Liparis florae ,,,,,,,,,Warming's Lanternfish,Snipe Eels
,Porbeagle shark,,Liparis inquilinus ,,,,,,,,,Pugjaw Wormfish,Needlebeard Seadevils
,Porcupinefish,,Liparis mucosus ,,,,,,,,,Atlantic Anchoveta,Blackchins
,Porgy,,Liparis pulchellus ,,,,,,,,,Anchoveta,Duckbill Eels
,Port Jackson shark,,Liparis rutteri ,,,,,,,,,Snouted Mullet,Driftfishes
,Powen,,Lipariscus nanus ,,,,,,,,,Smooth Dreamer,Deep-sea Spiny Eels
,Prickleback,,Liparus fucensis ,,,,,,,,,Can-opener Smoothdream,Paperbones or Waryfishes
,Pricklefish,,Lipidocybium flavobrunneum ,,,,,,,,,Orangethroat Pikeblenny,Batfishes
,Prickly shark,,Lipogramma evides ,,,,,,,,,Atlantic Spadefish,Dreamers
,Prowfish,,Lipolagus ochotensis [Bathylagus ochotensis] ,,,,,,,,,Pacific Spadefish,Snake Eels
,Psetta psetta,,Lobianchia dofleini ,,,,,,,,,Foureye Butterflyfish,Cusk-eels
,puffer,,Lobianchia gemellarii ,,,,,,,,,Threebanded Butterflyfish,Barreleyes or Spookfishes
,Pufferfish,,Lobianchia spp.,,,,,,,,,Spotfin Butterflyfish,Jawfishes
,pugnose minnow,,Lobotes surinamensis ,,,,,,,,,Reef Butterflyfish,Boxfishes
,Pumpkinseed,,Lophiodes caulinaris ,,,,,,,,,Banded Butterflyfish,Barracudinas
,Pupfish,,Lophiodes reticulatus ,,,,,,,,,Broadbanded Moray,Sand Flounders
,Pygmy sunfish,,Lophiodes spilurus ,,,,,,,,,Pelican Flounder,Sweepers
,Pygmy whitefish,,Lophius americanus ,,,,,,,,,Striped Blenny,Flatheads
,Queen danio,,Lophius gastrophysus ,,,,,,,,,Florida Blenny,Armored Searobins
,Queen parrotfish,,Lopholatilus chamaeleonticeps ,,,,,,,,,Dana Viperfish,Gunnels
,Queen triggerfish,,Lophotus lacepede ,,,,,,,,,Pacific Viperfish,Lightfishes
,Quillback,,Loweina interrupta,,,,,,,,,Sloane's Viperfish,Phycid Hakes
,Quillfish,,Loweina rara ,,,,,,,,,Pink Frogmouth,Tubeshoulders
,Rabbitfish,,Loweina spp.,,,,,,,,,Redeye Gaper,Righteye Flounders
,Raccoon butterfly fish,,Lucania parva ,,,,,,,,,Suttkus Sea Toad,Beardfishes
,Ragfish,,Lumpenopsis hypochroma [Allolumpenus hypochromus] ,,,,,,,,,Spotfin Burrfish,Threadfins
,rainbow darter,,Lumpenus sagitta ,,,,,,,,,Striped Burrfish,Wreckfishes
,Rainbow smelt,,Lupinoblennius nicholsi ,,,,,,,,,Margined Flyingfish,Angelfishes
,Rainbow trout,,Lutjanus analis ,,,,,,,,,Bandwing Flyingfish,Damselfishes
,Rainbowfish,,Lutjanus apodus ,,,,,,,,,Spotfin Flyingfish,Bluefishes
,Rasbora,,Lutjanus aratus ,,,,,,,,,Blotchwing Flyingfish,Bigeyes
,Ratfish,,Lutjanus argentiventris ,,,,,,,,,Atlantic Flyingfish,Fathead Sculpins
,Rattail,,Lutjanus buccanella ,,,,,,,,,Butterfly Flyingfish,Dartfishes
,Ray,,Lutjanus campechanus ,,,,,,,,,Smallhead Flyingfish,Cobias
,Razorback sucker,,Lutjanus colorado ,,,,,,,,,Whitetip Flyingfish,Tapertails
,Razorfish,,Lutjanus cyanopterus ,,,,,,,,,Black Croaker,Oarfishes
,Red Grouper ,,Lutjanus griseus ,,,,,,,,,Black Brotula,Swallowers
,Red salmon,,Lutjanus guttatus ,,,,,,,,,Warty Poacher,Sauries
,Red snapper,,Lutjanus inermis ,,,,,,,,,Black Swallower,Mackerels
,Red velvetfish,,Lutjanus jocu ,,,,,,,,,Spotted Cusk-eel,Pearleyes
,Red whalefish,,Lutjanus jordani ,,,,,,,,,Shortsnout Conger,Turbots
,redbelly dace,,Lutjanus mahogoni ,,,,,,,,,Seagrass Eel,Scorpionfishes
,Redfin perch,,Lutjanus novemfasciatus ,,,,,,,,,Dogtooth Herring,Sea Basses
,Redfin shiner,,Lutjanus peru ,,,,,,,,,Roughback Sculpin,Sawtooth Eels
,Redfish,,Lutjanus purpureus ,,,,,,,,,Bicolor Eel,Porgies
,Redhorse sucker,,Lutjanus synagris ,,,,,,,,,Mottled False Moray,Barracudas
,Redlip blenny,,Lutjanus viridis ,,,,,,,,,Shortnose Greeneye,Marine Hatchetfishes and Relatives
,Redmouth whalefish,,Lutjanus vivanus ,,,,,,,,,Atlantic Bumper,Pricklebacks
,Redtooth triggerfish,,Luvarus imperialis ,,,,,,,,,Pacific Bumper,Scaly Dragonfishes
,Reedfish,,Lyopsetta exilis ,,,,,,,,,Threadnose Bass,Butterfishes
,Reef triggerfish,,Lythrypnus dalli ,,,,,,,,,Hardhead Halfbeak,Slopefishes
,refin shiner,,Lythrypnus pulchellus ,,,,,,,,,Silverstripe Chromis,Cutthroat Eels
,Remora,,Lythrypnus zebra ,,,,,,,,,Blue Chromis,Pipefishes and Seahorses
,Requiem shark,,Macroparalepis johnfitchi ,,,,,,,,,Yellowtail Reeffish,Lizardfishes
,Ribbon eel,,Macropinna microstoma ,,,,,,,,,Brown Chromis,Squaretails
,Ribbon sawtail fish,,Macroramphosus gracilis ,,,,,,,,,Blacksmith,Puffers
,Ribbonfish,,Macrorhamphosus scolopax ,,,,,,,,,Mayan Cichlid,Wolftrap Anglers
,Rice eel,,Macrostomias longibarbatus ,,,,,,,,,Decorated Warbonnet,Roughies
,Ricefish,,Magnisudis atlantica ,,,,,,,,,Mosshead Warbonnet,Ribbonfishes
,Ridgehead,,Makaira nigricans ,,,,,,,,,Giant Hawkfish,Cutlassfishes
,Riffle dace,,Malacanthus plumieri ,,,,,,,,,Coral Hawkfish,Searobins
,Righteye flounder,,Malacocephalus laevis ,,,,,,,,,P.ume Blenny,Triplefins
,Rio Grande perch,,Malacoctenus hubbsi ,,,,,,,,,Gulf Stream Flounder,Stargazers
,river carpsucker,,Malacoctenus tetranemus ,,,,,,,,,Horned Whiff,Swordfishes
,River loach,,Malacoctenus zacae ,,,,,,,,,Gulf Sanddab,Dories
,River shark,,Manducus madarensis,,,,,,,,,Bigmouth Sanddab,Eeelpouts
,River stingray,,Margrethia obtusirostre ,,,,,,,,,Mimic Sanddab,
,Rivuline,,Maulisia agripalla ,,,,,,,,,Anglefin Whiff,
,Roach,,Maurolicine Type Alpha,,,,,,,,,Spotted Whiff,
,Roanoke bass,,Maurolicus weitzmani ,,,,,,,,,Small Sanddab,
,Rock bass,,Medialuna californiensis ,,,,,,,,,Pacific Sanddab,
,Rock beauty,,Megalops atlanticus ,,,,,,,,,Bay Whiff,
,Rock cod,,Melamphaes acanthomus ,,,,,,,,,Speckled Sanddab,
